YYYYMMDD,DOY,TEMP,RHUM,RAIN,LAT,LON
2000-04-30,121,28.29,74.00733947753906,0,14.6774,121.25562
2000-05-01,122,28.16,78.13932037353516,0,14.6774,121.25562
2000-05-02,123,28.72,70.64215087890625,0,14.6774,121.25562
2000-05-03,124,27.68,76.70661926269531,12.681382179260254,14.6774,121.25562
2000-05-04,125,28.06,75.90480041503906,12.681382179260254,14.6774,121.25562
2000-05-05,126,28.22,75.0128402709961,0,14.6774,121.25562
2000-05-06,127,27.73,75.6146469116211,0,14.6774,121.25562
2000-05-07,128,27.1,80.32144927978516,0,14.6774,121.25562
2000-05-08,129,26.81,79.3718032836914,0,14.6774,121.25562
2000-05-09,130,26.32,80.32946014404297,0,14.6774,121.25562
2000-05-10,131,25.97,84.27879333496094,0,14.6774,121.25562
2000-05-11,132,27.27,77.014190673828125,0,14.6774,121.25562
2000-05-12,133,26.62,80.65104675292969,15.148448944091797,14.6774,121.25562
2000-05-13,134,25.87,83.883453369140625,0,14.6774,121.25562
2000-05-14,135,25.47,84.21784210205078,17.312515258789062,14.6774,121.25562
2000-05-15,136,24.62,89.48951721191406,45.445350646972656,14.6774,121.25562
2000-05-16,137,24.29,91.19745635986328,59.690616607666016,14.6774,121.25562
2000-05-17,138,25.07,89.07913970947266,29.845308303833008,14.6774,121.25562
2000-05-18,139,24.89,91.24652862548828,89.53592681884766,14.6774,121.25562
2000-05-19,140,25.1,90.54125213623047,0,14.6774,121.25562
2000-05-20,141,26.47,85.2099609375,29.845308303833008,14.6774,121.25562
2000-05-21,142,24.97,89.81946563720703,20.765262603759766,14.6774,121.25562
2000-05-22,143,26.62,85.02379608154297,10.382631301879883,14.6774,121.25562
2000-05-23,144,27.55,80.36905670166016,0,14.6774,121.25562
2000-05-24,145,27.94,78.947265625,20.765262603759766,14.6774,121.25562
2000-05-25,146,27.02,82.85709381103516,10.382631301879883,14.6774,121.25562
2000-05-26,147,27.24,81.68653869628906,0,14.6774,121.25562
2000-05-27,148,27.79,80.69750213623047,0,14.6774,121.25562
2000-05-28,149,27.01,82.54515838623047,25.13726234436035,14.6774,121.25562
2000-05-29,150,26.51,83.50041961669922,50.2745246887207,14.6774,121.25562
2000-05-30,151,27.6,78.643463134765625,0,14.6774,121.25562
2000-05-31,152,27.54,76.95043182373047,0,14.6774,121.25562
2000-06-01,153,28.01,76.89537811279297,0,14.6774,121.25562
2000-06-02,154,26.64,81.54048156738281,0,14.6774,121.25562
2000-06-03,155,27.4,81.16007232666016,7.646745204925537,14.6774,121.25562
2000-06-04,156,27.54,79.824920654296875,22.940235137939453,14.6774,121.25562
